,text,newText
694,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
695,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
696,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
697,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
698,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
699,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
700,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
701,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
702,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
703,#socialanxietydisorder #liveyourlife #loveyourself #depression #mentalillness #instagood #likeforlikes @ Shenton Pa… https://t.co/BAcMIdW2ms,"['#ocialanxietydisorder', '#iveyourlife', '#oveyourself', '#epression', '#entalillness', '#nstagood', '#ikeforlikes', ' ', 'Shenton', 'Pa', ' ']"
704,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
705,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
706,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
707,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
708,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
709,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
710,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
711,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
712,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
713,"Cleansed all that went before it. No more, no less. - Drinking a Nectarine Berliner Weisse Sour by @CheekyMBrewery… https://t.co/KoXQCe3EoB","['Cleansed', 'went', ' ', ' ', '   ', 'Drinking', 'Nectarine', 'Berliner', 'Weisse', 'Sour', '  ']"
714,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
715,"#parks #canningvale #cityofcanning #perth #soperth @ Canning Vale, Western Australia https://t.co/MYJAtt0sVF","['#arks', '#anningvale', '#ityofcanning', '#erth', '#operth', ' ', 'Canning', 'Vale', ' ', 'Western', 'Australia']"
716,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
717,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
718,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
719,@GraceMillimaci I can hook you up @FatCat,"[' ', 'hook']"
720,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
721,"5 jobs I’ve had 

1. Nurse
2. Missionary 
3. Entrepreneur - Caterer
4. International recruiter 
5. Business Systems Lead","['  ', 'jobs', 've', '     ', 'Nurse', '   ', 'Missionary', '    ', 'Entrepreneur', '  ', 'Caterer', '   ', 'International', 'recruiter', '    ', 'Business', 'Systems', 'Lead']"
